,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,home_wins,away_wins,favorite_margin,primetime,team_favorite_id,favorite_cover,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,who_covered,day_week,primetime,winning_score,losing_score,win_margin,home_margin,away_margin,favorite_margin,home_favored_by,home_difference,home_cover,home_favorite_cover,home_dog_cover
23,9/9/79,1979,2,FALSE,NYG,14,27,ARI,0,1,13,FALSE,ARI,TRUE,-3,36,Giants Stadium,FALSE,63,13,54,,ARI,Sunday,FALSE,27,14,13,-13,13,13,-3,-10,FALSE,AWAY FAV,FALSE
24,9/9/79,1979,2,FALSE,PIT,38,7,TEN,1,1,31,FALSE,PIT,TRUE,-6,37,Three Rivers Stadium,FALSE,55,6,69,,PIT,Sunday,FALSE,38,7,31,31,-31,31,6,25,TRUE,TRUE,HOME FAV
25,9/9/79,1979,2,FALSE,LAC,30,10,LVR,1,1,20,FALSE,LAC,TRUE,-3,42,Qualcomm Stadium,FALSE,73,9,82,,LAC,Sunday,FALSE,30,10,20,20,-20,20,3,17,TRUE,TRUE,HOME FAV
26,9/9/79,1979,2,FALSE,SF,13,21,DAL,0,1,8,FALSE,DAL,FALSE,-13,39,Candlestick Park,FALSE,65,15,65,,SF,Sunday,FALSE,21,13,8,-8,8,8,-13,5,TRUE,AWAY FAV,TRUE
27,9/10/79,1979,2,FALSE,PHI,10,14,ATL,1,1,-4,TRUE,PHI,FALSE,-4,35.5,Veterans Stadium,FALSE,65,7,72,,ATL,Monday,TRUE,14,10,4,-4,4,-4,4,-8,FALSE,FALSE,HOME FAV
28,9/16/79,1979,3,FALSE,ATL,17,20,DEN,,,3,FALSE,DEN,PUSH,-3,32,Atlanta-Fulton County Stadium,FALSE,71,15,76,,PUSH,Sunday,FALSE,20,17,3,-3,3,3,-3,0,PUSH,AWAY FAV,PUSH
29,9/16/79,1979,3,FALSE,CIN,14,20,NE,,,6,FALSE,NE,PUSH,-6,41,Cinergy Field,FALSE,58,7,59,,PUSH,Sunday,FALSE,20,14,6,-6,6,6,-6,0,PUSH,AWAY FAV,PUSH
30,9/16/79,1979,3,FALSE,CLE,13,10,IND,,,3,FALSE,CLE,FALSE,-7,42,Cleveland Municipal Stadium,FALSE,59,9,71,,IND,Sunday,FALSE,13,10,3,3,-3,3,7,-4,FALSE,FALSE,HOME FAV
31,9/16/79,1979,3,FALSE,DAL,24,20,CHI,,,4,FALSE,DAL,FALSE,-9,37,Texas Stadium,FALSE,68,8,41,,CHI,Sunday,FALSE,24,20,4,4,-4,4,9,-5,FALSE,FALSE,HOME FAV
32,9/16/79,1979,3,FALSE,GB,10,21,TB,,,-11,FALSE,GB,FALSE,-2,36,Lambeau Field,FALSE,60,9,71,,TB,Sunday,FALSE,21,10,11,-11,11,-11,2,-13,FALSE,FALSE,HOME FAV
33,9/16/79,1979,3,FALSE,TEN,20,6,KC,,,14,FALSE,TEN,TRUE,-5,37,Houston Astrodome,FALSE,72,0,,DOME,TEN,Sunday,FALSE,20,6,14,14,-14,14,5,9,TRUE,TRUE,HOME FAV
34,9/16/79,1979,3,FALSE,LAR,27,24,SF,,,3,FALSE,LAR,FALSE,-13,39,Anaheim Stadium,FALSE,83,8,33,,SF,Sunday,FALSE,27,24,3,3,-3,3,13,-10,FALSE,FALSE,HOME FAV
35,9/16/79,1979,3,FALSE,MIN,12,27,MIA,,,15,FALSE,MIA,TRUE,-7,37,Metropolitan Stadium,FALSE,64,11,58,,MIA,Sunday,FALSE,27,12,15,-15,15,15,-7,-8,FALSE,AWAY FAV,FALSE
36,9/16/79,1979,3,FALSE,NO,14,26,PHI,,,-12,FALSE,NO,FALSE,-3,42,Louisiana Superdome,FALSE,72,0,,DOME,PHI,Sunday,FALSE,26,14,12,-12,12,-12,3,-15,FALSE,FALSE,HOME FAV
