schedule_season,schedule_week,team_home,score_home,score_away,team_away,favorite_margin,team_favorite_id,favorite_cover,spread_favorite,home_cover,fits_shank,fits_wever,fits_vergin,fits_vergin_monday,fits_gandar,fits_davis,fits_fodor
1979,1,TB,31,16,DET,15,TB,TRUE,-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1,BUF,7,9,MIA,2,MIA,FALSE,-5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1,CHI,6,3,GB,3,CHI,PUSH,-3,PUSH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1,DEN,10,0,CIN,10,DEN,TRUE,-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1,KC,14,0,IND,14,KC,TRUE,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1,LAR,17,24,LVR,-7,LAR,FALSE,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1,MIN,28,22,SF,6,MIN,FALSE,-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1979,1,NO,34,40,ATL,-6,NO,FALSE,-5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1,NYJ,22,25,CLE,-3,NYJ,FALSE,-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1,PHI,23,17,NYG,6,PHI,FALSE,-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1,SEA,16,33,LAC,-17,SEA,FALSE,-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1,ARI,21,22,DAL,1,DAL,FALSE,-4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1,WAS,27,29,TEN,2,TEN,FALSE,-4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1,NE,13,16,PIT,3,PIT,TRUE,-2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1979,2,DEN,9,13,LAR,-4,DEN,FALSE,-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,2,IND,26,29,TB,3,PICK,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
